,Precio,Localidad,Robo_Personas,Homicidios,Promedio
408,285000000,SUBA,7567,43,553298142.682
409,222000000,SUBA,7567,43,553298142.682
410,198400000,ENGATIVA,8151,32,458086704.67836255
411,285000000,SUBA,7567,43,553298142.682
412,285000000,SUBA,7567,43,553298142.682
413,365000000,SUBA,7567,43,553298142.682
414,355000000,SUBA,7567,43,553298142.682
415,165000000,SUBA,7567,43,553298142.682
416,365000000,SUBA,7567,43,553298142.682
417,550000000,USAQUEN,5376,29,738350161.5709343
418,840000000,SUBA,7567,43,553298142.682
419,960000000,SUBA,7567,43,553298142.682
420,250000000,SUBA,7567,43,553298142.682
421,325000000,ENGATIVA,8151,32,458086704.67836255
422,1400000000,SUBA,7567,43,553298142.682
423,420000000,SUBA,7567,43,553298142.682
424,230000000,SUBA,7567,43,553298142.682
425,295000000,SUBA,7567,43,553298142.682
426,290000000,SUBA,7567,43,553298142.682
427,650000000,SUBA,7567,43,553298142.682
428,460000000,SUBA,7567,43,553298142.682
429,250000000,ENGATIVA,8151,32,458086704.67836255
430,208000000,SUBA,7567,43,553298142.682
431,2600000000,SUBA,7567,43,553298142.682
432,410000000,ENGATIVA,8151,32,458086704.67836255
433,360000000,ENGATIVA,8151,32,458086704.67836255
434,360000000,ENGATIVA,8151,32,458086704.67836255
435,335000000,SUBA,7567,43,553298142.682
436,299000000,SUBA,7567,43,553298142.682
437,395000000,ENGATIVA,8151,32,458086704.67836255
438,750000000,SUBA,7567,43,553298142.682
439,430000000,SUBA,7567,43,553298142.682
440,240000000,SUBA,7567,43,553298142.682
441,335000000,SUBA,7567,43,553298142.682
442,645000000,SUBA,7567,43,553298142.682
443,1080000000,SUBA,7567,43,553298142.682
444,1400000000,SUBA,7567,43,553298142.682
445,945000000,SUBA,7567,43,553298142.682
446,170000000,SUBA,7567,43,553298142.682
447,914300000,SUBA,7567,43,553298142.682
448,350000000,SUBA,7567,43,553298142.682
449,440000000,SUBA,7567,43,553298142.682
450,245000000,SUBA,7567,43,553298142.682
451,240000000,ENGATIVA,8151,32,458086704.67836255
452,75000000,SUBA,7567,43,553298142.682
453,260000000,SUBA,7567,43,553298142.682
454,480000000,USAQUEN,5376,29,738350161.5709343
455,337000000,SUBA,7567,43,553298142.682
456,423500000,USAQUEN,5376,29,738350161.5709343
457,340000000,SUBA,7567,43,553298142.682
458,448000000,USAQUEN,5376,29,738350161.5709343
459,300000000,USAQUEN,5376,29,738350161.5709343
460,330000000,USAQUEN,5376,29,738350161.5709343
461,505000000,USAQUEN,5376,29,738350161.5709343
462,520000000,USAQUEN,5376,29,738350161.5709343
463,320000000,USAQUEN,5376,29,738350161.5709343
464,549900000,USAQUEN,5376,29,738350161.5709343
465,467000000,SUBA,7567,43,553298142.682
466,769000000,SUBA,7567,43,553298142.682
467,494000000,SUBA,7567,43,553298142.682
468,339900000,USAQUEN,5376,29,738350161.5709343
469,690000000,USAQUEN,5376,29,738350161.5709343
470,347000000,SUBA,7567,43,553298142.682
471,399900000,SUBA,7567,43,553298142.682
472,600000000,USAQUEN,5376,29,738350161.5709343
473,380000000,USAQUEN,5376,29,738350161.5709343
474,545000000,SUBA,7567,43,553298142.682
475,650000000,SUBA,7567,43,553298142.682
476,170000000,SUBA,7567,43,553298142.682
477,158000000,ENGATIVA,8151,32,458086704.67836255
478,135000000,SUBA,7567,43,553298142.682
479,279000000,ENGATIVA,8151,32,458086704.67836255
480,1200000000,SUBA,7567,43,553298142.682
481,190000000,SUBA,7567,43,553298142.682
482,778664000,SUBA,7567,43,553298142.682
483,170000000,ENGATIVA,8151,32,458086704.67836255
484,450000000,SUBA,7567,43,553298142.682
485,350000000,ENGATIVA,8151,32,458086704.67836255
486,150000000,SUBA,7567,43,553298142.682
487,19980000,SUBA,7567,43,553298142.682
488,320000000,SUBA,7567,43,553298142.682
489,510000000,SUBA,7567,43,553298142.682
490,465000000,ENGATIVA,8151,32,458086704.67836255
491,480000000,SUBA,7567,43,553298142.682
492,230000000,ENGATIVA,8151,32,458086704.67836255
493,440000000,USAQUEN,5376,29,738350161.5709343
494,155000000,SUBA,7567,43,553298142.682
495,230000000,ENGATIVA,8151,32,458086704.67836255
496,335000000,SUBA,7567,43,553298142.682
497,110000000,SUBA,7567,43,553298142.682
498,260000000,SUBA,7567,43,553298142.682
499,130000000,SUBA,7567,43,553298142.682
500,280000000,ENGATIVA,8151,32,458086704.67836255
501,199000000,SUBA,7567,43,553298142.682
502,295000000,SUBA,7567,43,553298142.682
503,68000000,SUBA,7567,43,553298142.682
504,580000000,SUBA,7567,43,553298142.682
505,750000000,USAQUEN,5376,29,738350161.5709343
506,380000000,SUBA,7567,43,553298142.682
507,757000000,USAQUEN,5376,29,738350161.5709343
508,1500000000,SUBA,7567,43,553298142.682
509,420000000,ENGATIVA,8151,32,458086704.67836255
510,65000000,SUBA,7567,43,553298142.682
511,145000000,SUBA,7567,43,553298142.682
512,140000000,SUBA,7567,43,553298142.682
513,335000000,SUBA,7567,43,553298142.682
514,370000000,SUBA,7567,43,553298142.682
515,150000000,SUBA,7567,43,553298142.682
516,285000000,SUBA,7567,43,553298142.682
517,775000000,SUBA,7567,43,553298142.682
518,560000000,SUBA,7567,43,553298142.682
519,235000000,SUBA,7567,43,553298142.682
520,170000000,SUBA,7567,43,553298142.682
521,185000000,SUBA,7567,43,553298142.682
522,360000000,USAQUEN,5376,29,738350161.5709343
523,375000000,SUBA,7567,43,553298142.682
524,280000000,ENGATIVA,8151,32,458086704.67836255
525,330000000,USAQUEN,5376,29,738350161.5709343
526,240000000,ENGATIVA,8151,32,458086704.67836255
527,235000000,SUBA,7567,43,553298142.682
528,215000000,SUBA,7567,43,553298142.682
529,210000000,SUBA,7567,43,553298142.682
530,1560922907,SUBA,7567,43,553298142.682
531,1297158361,SUBA,7567,43,553298142.682
532,597197826,SUBA,7567,43,553298142.682
533,1056062972,SUBA,7567,43,553298142.682
534,220000000,SUBA,7567,43,553298142.682
535,561769949,SUBA,7567,43,553298142.682
536,250000000,SUBA,7567,43,553298142.682
537,420000000,ENGATIVA,8151,32,458086704.67836255
538,120000000,SUBA,7567,43,553298142.682
539,650000000,SUBA,7567,43,553298142.682
540,4579399492,SUBA,7567,43,553298142.682
541,560000000,SUBA,7567,43,553298142.682
542,384000000,SUBA,7567,43,553298142.682
543,975000000,SUBA,7567,43,553298142.682
544,260000000,SUBA,7567,43,553298142.682
545,510000000,SUBA,7567,43,553298142.682
546,355000000,SUBA,7567,43,553298142.682
547,330000000,ENGATIVA,8151,32,458086704.67836255
548,400000000,SUBA,7567,43,553298142.682
549,228000000,SUBA,7567,43,553298142.682
550,310000000,SUBA,7567,43,553298142.682
551,140000000,SUBA,7567,43,553298142.682
552,220000000,SUBA,7567,43,553298142.682
553,280000000,SUBA,7567,43,553298142.682
554,410000000,SUBA,7567,43,553298142.682
555,167000000,SUBA,7567,43,553298142.682
556,467000000,SUBA,7567,43,553298142.682
557,705000000,USAQUEN,5376,29,738350161.5709343
558,250000000,SUBA,7567,43,553298142.682
559,446000000,USAQUEN,5376,29,738350161.5709343
560,467000000,SUBA,7567,43,553298142.682
561,238000000,SUBA,7567,43,553298142.682
562,2500000000,USAQUEN,5376,29,738350161.5709343
563,250000000,SUBA,7567,43,553298142.682
564,200000000,SUBA,7567,43,553298142.682
565,115000000,ENGATIVA,8151,32,458086704.67836255
566,470000000,SUBA,7567,43,553298142.682
567,179000000,SUBA,7567,43,553298142.682
